,Term,Category
206,akatalase,CONDITION
207,akatalasemi,CONDITION
209,akillessenebetennelse,CONDITION
210,akillesseneruptur,CONDITION
211,akillestendinose,CONDITION
212,akillobursitt,CONDITION
213,akillodyni,CONDITION
214,akillotenotomi,PROCEDURE
215,akinetisk mutisme,CONDITION
216,akinetisk syndrom,CONDITION
217,akkommodasjonsparese,CONDITION
219,aknefaskopi,PROCEDURE
220,akoli,CONDITION
221,acholia,CONDITION
222,akoluri,CONDITION
223,akondroplasi,CONDITION
224,achondroplasia,CONDITION
226,akori,CONDITION
227,akrani,CONDITION
228,acrania,CONDITION
229,akrocyanose,CONDITION
230,acrocyanosis,CONDITION
231,akrodermatitt,CONDITION
232,acrodermatitis,CONDITION
233,akrodyni,CONDITION
234,akrognosi,CONDITION
235,akromegali,CONDITION
236,acromegalia,CONDITION
237,akromelalgi,CONDITION
239,akrosklerose,CONDITION
240,akrotisme,CONDITION
241,akselengdemåling,PROCEDURE
243,aksillær nerveblokade,PROCEDURE
244,aksis,CONDITION
245,aktin,SUBSTANCE
246,aktinisk reticuloid,CONDITION
247,aktinomykose,CONDITION
248,actinomycosis,CONDITION
249,aktivator,SUBSTANCE
250,aktivitetsterapi,PROCEDURE
252,aktivt karbon,SUBSTANCE
253,akupressur,PROCEDURE
254,akupunktur,PROCEDURE
255,akustikusnevrinom,CONDITION
256,akustisk rhinomanometri,PROCEDURE
257,akutt abdomen,CONDITION
258,abdominalia acuta,CONDITION
259,akutt artritt,CONDITION
260,akutt behandling,PROCEDURE
261,akutt disseminert encefalomyelitt,CONDITION
262,akuttfaseprotein,SUBSTANCE
263,akutt koronarsyndrom,CONDITION
266,akutt stressreaksjon,CONDITION
267,akvaporin,SUBSTANCE
268,akvedukt,SUBSTANCE
269,aquaeductus,SUBSTANCE
270,akvirert immunsvikt-syndrom,CONDITION
271,akyli,CONDITION
272,achylia,CONDITION
273,alakrimi,CONDITION
274,alali,CONDITION
275,alalia,CONDITION
276,alanin,SUBSTANCE
277,albinisme,CONDITION
281,albumin,SUBSTANCE
282,Albyl-E,SUBSTANCE
285,Aldactone,SUBSTANCE
286,aldehyder,SUBSTANCE
287,aldersatrofi,CONDITION
288,aldersdemens,CONDITION
290,aldolase,SUBSTANCE
291,aldosteron,SUBSTANCE
292,aldosteronisme,CONDITION
294,alevkemisk levkemi,CONDITION
295,Alexanders sykdom,CONDITION
296,alexanderteknikken,PROCEDURE
297,alfablokker,SUBSTANCE
299,α1-antitrypsin,SUBSTANCE
300,α1-antitrypsinmangel,CONDITION
301,α1-proteinaseinhibitor,SUBSTANCE
302,α1-proteinaseinhibitormangel,CONDITION
303,alfaføtoprotein,SUBSTANCE
304,alfaglobulin,SUBSTANCE
305,alfakalcidiol,SUBSTANCE
306,alfalipoprotein,SUBSTANCE
307,alfametyldopa,SUBSTANCE
308,alfastimulatorer,SUBSTANCE
309,alfa-2-makroglobulin,SUBSTANCE
311,alginat,SUBSTANCE
312,alginsyre,SUBSTANCE
313,algogene substanser,SUBSTANCE
314,algolagni,CONDITION
317,alimemazin,SUBSTANCE
318,alipoproteinemi,CONDITION
319,alitement,PROCEDURE
320,alkalisk,SUBSTANCE
321,alkaloider,SUBSTANCE
322,alkalose,CONDITION
323,alcalosis,CONDITION
324,alkaptonuri,CONDITION
325,alcaptonuria,CONDITION
326,alkohol,SUBSTANCE
327,alkoholassosierte krefttyper,CONDITION
328,alkoholavhengighet,CONDITION
329,alkoholforgiftning,CONDITION
330,alkoholisme,CONDITION
333,alkylerende stoffer,SUBSTANCE
334,alkyner,SUBSTANCE
336,allantois,CONDITION
337,allergen,SUBSTANCE
338,allergi,CONDITION
339,allergia,CONDITION
342,allergisk,CONDITION
343,allergisk alveolitt,CONDITION
344,allergisk reaksjon,CONDITION
345,allergisykdommer,CONDITION
349,allmenntilstand,CONDITION
350,alloantistoff,SUBSTANCE
351,allodyni,CONDITION
352,allolali,CONDITION
354,allopati,CONDITION
355,alloplastikk,PROCEDURE
356,Allopur,SUBSTANCE
357,allopurinol,SUBSTANCE
358,allotriofagi,CONDITION
359,Alopam,SUBSTANCE
361,Alpers sykdom,CONDITION
362,Alpers-Huttenlochersykdom,CONDITION
363,alprazolam,SUBSTANCE
364,alprostadil,SUBSTANCE
365,ALS,CONDITION
366,alt-eller-intetloven,CONDITION
367,alteplase,SUBSTANCE
370,altretamin,SUBSTANCE
371,aluminium-osteodystrofi,CONDITION
372,aluminiumsubacetatløsning,SUBSTANCE
373,alveansiktssyndrom,CONDITION
376,alveolarutposning,CONDITION
377,alveolitt,CONDITION
378,alveolitis,CONDITION
379,alveolært ødem,CONDITION
380,Alzheimers sykdom,CONDITION
381,amalgamisme,CONDITION
382,amalgamsyndromet,CONDITION
383,amantadin,SUBSTANCE
384,amarum,SUBSTANCE
385,amasesi,CONDITION
386,amaurosis,CONDITION
388,amboseptor,SUBSTANCE
391,ambulant automatisme,CONDITION
392,ameli,CONDITION
393,amelia,CONDITION
394,ameloblastom,CONDITION
395,"-blastoma, adamantinom",CONDITION
396,amelogenese,CONDITION
397,amelogenesis imperfecta,CONDITION
398,amens,CONDITION
399,amentia,CONDITION
400,ametri,PROCEDURE
401,ametropi,CONDITION
402,amfetamin,SUBSTANCE
403,amfolytt,SUBSTANCE
404,amfomycin,SUBSTANCE
405,amfotericin,SUBSTANCE
406,amider,SUBSTANCE
407,amidotrisoinsyre,SUBSTANCE
408,amilorid,SUBSTANCE
409,aminer,SUBSTANCE
410,aminoaciduri,CONDITION
411,aminoglutetimid,SUBSTANCE
412,aminohormoner,SUBSTANCE
413,aminosalicylsyreforbindelser,SUBSTANCE
414,aminosyrer,SUBSTANCE
415,aminosyre-tRNA-syntetase,SUBSTANCE
416,aminotransferaser,SUBSTANCE
417,amiodaron,SUBSTANCE
418,amitriptylin,SUBSTANCE
420,amlodipin,SUBSTANCE
421,ammoniakkdermatitt,CONDITION
422,amnesi,CONDITION
423,amnesia,CONDITION
424,amnestisk,CONDITION
425,amnestisk syndrom,CONDITION
426,amniocentesis,CONDITION
427,amniografi,PROCEDURE
429,amoebiasis,CONDITION
430,amoksicillin,SUBSTANCE
431,amorolfin,SUBSTANCE
432,amotio,SUBSTANCE
433,amoxicillin,SUBSTANCE
434,ampicillin,SUBSTANCE
435,amplifikasjon,CONDITION
436,ampulla Vateri,CONDITION
437,amputasjon,PROCEDURE
438,amputatio,PROCEDURE
439,amsakrin,SUBSTANCE
440,amylase,SUBSTANCE
441,amylnitritt,SUBSTANCE
442,amyloid,SUBSTANCE
443,amyloidose,CONDITION
444,amyloidosis,CONDITION
445,amyoplasi,CONDITION
446,amyotonia congenita,CONDITION
447,amyotrofia diabetika,CONDITION
448,amyotrofisk lateralsklerose,CONDITION
449,amøbeinfeksjon,CONDITION
450,amøbiasis,CONDITION
451,ANA,SUBSTANCE
452,anabole steroider,SUBSTANCE
453,anabolisme,CONDITION
454,anaciditet,CONDITION
455,anadipsi,CONDITION
457,anaerob infeksjon,CONDITION
458,anaerobt stoffskifte,SUBSTANCE
459,anafi,CONDITION
460,Anafranil,SUBSTANCE
461,anafrodisiaka,SUBSTANCE
462,anafylaksi,CONDITION
463,anafylaktisk sjokk,CONDITION
464,anafylatoksin,SUBSTANCE
465,anaklitisk,CONDITION
466,anakusis,CONDITION
467,anacusis,CONDITION
470,analabscess,CONDITION
471,analatresi,CONDITION
472,analcancer,CONDITION
473,anale stadium,CONDITION
474,analfistel,SUBSTANCE
475,fistula in ano,SUBSTANCE
477,anal inkontinens,CONDITION
478,analog,SUBSTANCE
480,analspasme,CONDITION
481,analt samleie,PROCEDURE
483,analyse,PROCEDURE
486,anamnestisk respons,SUBSTANCE
487,anaplasi,CONDITION
488,-plasia,CONDITION
489,anaplasmose,CONDITION
490,anaplastisk svulst,CONDITION
491,anartri,CONDITION
492,anasarka,CONDITION
493,-sarca,CONDITION
494,anastomose,SUBSTANCE
495,-stomosis,CONDITION
496,anastomoselekkasje,CONDITION
497,ANA-test,PROCEDURE
498,anatomi,PROCEDURE
499,androblastom,CONDITION
500,androgene hormoner,SUBSTANCE
501,androgener,SUBSTANCE
503,androsteron,SUBSTANCE
504,anemi,CONDITION
505,anemisk,CONDITION
506,anencefali,CONDITION
507,anergasi,CONDITION
508,anestesi,CONDITION
511,anestesimiddel,SUBSTANCE
515,aneuploide svulster,CONDITION
516,aneurisme,CONDITION
517,aneurysma,CONDITION
518,aneurismeblødning,CONDITION
519,aneurismektomi,PROCEDURE
520,Angelmans syndrom,CONDITION
521,angiektasi,CONDITION
522,angiektomi,PROCEDURE
523,angina pectoris,CONDITION
524,angina tonsillaris,CONDITION
525,angina Vincenti,CONDITION
526,angioblastom,CONDITION
527,angiocholitt,CONDITION
528,angiodysplasi,CONDITION
529,angiofibrom,CONDITION
530,angiogenesehemmer,SUBSTANCE
531,angiografi,CONDITION
532,angiokardiografi,PROCEDURE
533,angiokeratoma corporis diffusum universale,CONDITION
534,angiolipom,CONDITION
535,angiolymfoid hyperplasi,CONDITION
536,angiom,CONDITION
537,angioma,CONDITION
538,angiomatosis retinocerebralis,CONDITION
539,angioplastikk,PROCEDURE
540,angiosarkom,CONDITION
541,angioskopi,PROCEDURE
542,angiospasme,CONDITION
543,-spasmus,CONDITION
544,Angiostrongylus cantonensis,CONDITION
545,angiotensin (I og II),SUBSTANCE
546,angiotensinkonverterende enzym-hemmere,SUBSTANCE
547,angiotensin-reseptor-blokkere,SUBSTANCE
548,angioødem,CONDITION
549,angor animi,CONDITION
550,angst,CONDITION
551,angstdempende middel,SUBSTANCE
552,angstlidelse,CONDITION
553,angstnevrose,CONDITION
554,anhidrosis,CONDITION
555,anikterisk hepatitt,CONDITION
556,aniridi,CONDITION
557,aniridia,CONDITION
560,anisme,CONDITION
561,anisocytose,CONDITION
562,anisocytosis,CONDITION
563,anisomeli,CONDITION
564,anisometropi,CONDITION
565,anisopoikilocytose,CONDITION
567,ankelødem,CONDITION
568,ankonitt,CONDITION
569,ankylosis,CONDITION
570,ankyloserende spondylitt,CONDITION
571,spondylarthritis ankylopoietica,CONDITION
572,ankylostomiasis,CONDITION
573,ancylo-,CONDITION
574,annenrangssymptomer,CONDITION
575,anodonti,CONDITION
576,anodyni,CONDITION
577,anoftalmi,CONDITION
578,anophtalmia,CONDITION
579,anoksemi,CONDITION
580,anoksi,CONDITION
581,anomali,CONDITION
582,anomalia,CONDITION
584,anomaloskopi,PROCEDURE
585,anonyki,CONDITION
586,anoreksi,CONDITION
589,anorki,CONDITION
591,anoskopi,PROCEDURE
592,anosmi,CONDITION
593,anosmia,CONDITION
594,anoti,CONDITION
596,anovulasjon,SUBSTANCE
597,ansiktslammelse,CONDITION
598,ansiktsløftning,PROCEDURE
599,ansiktsnevralgi,CONDITION
601,Antabus,SUBSTANCE
602,antacidum,SUBSTANCE
603,antagonisme,CONDITION
604,antastmatika,SUBSTANCE
605,antegrad pyelografi,PROCEDURE
606,ante mortem,CONDITION
607,anterograd amnesi,CONDITION
608,anthrax,CONDITION
609,antiadrenergikum,SUBSTANCE
610,antiandrogen,SUBSTANCE
612,antibakterielle midler,SUBSTANCE
614,anti-D,SUBSTANCE
615,antidepressiver,SUBSTANCE
616,antidiuretisk hormon,SUBSTANCE
617,anti-DNA antistoff,SUBSTANCE
618,antidot,SUBSTANCE
619,antiflogistikum,SUBSTANCE
620,antifosfolipidantistoffer,SUBSTANCE
621,antifosfolipidantistoffsyndrom,CONDITION
622,antifungal,SUBSTANCE
624,antigen,SUBSTANCE
625,antigen-antistoffreaksjon,CONDITION
627,antihelmintikum,SUBSTANCE
628,antihemoragika,SUBSTANCE
629,antihidrotika,SUBSTANCE
630,antihypertensiva,SUBSTANCE
631,antikardiolipinsyndrom,CONDITION
632,antikoagulasjonsbehandling,PROCEDURE
633,antikoagulasjonsmidler,SUBSTANCE
634,antikolinergt syndrom,CONDITION
635,antikolinesterase,SUBSTANCE
636,antikonsepsjon,PROCEDURE
637,antikonsepsjonsmidler,SUBSTANCE
638,antikonvulsivum,SUBSTANCE
639,antilymfocyttglobulin,SUBSTANCE
640,antilymfocyttserum,SUBSTANCE
641,antimalariamidler,SUBSTANCE
642,antimetabolitt,SUBSTANCE
643,antimikrobielle midler,SUBSTANCE
644,antimykobakterielle midler,SUBSTANCE
645,antinevralgika,SUBSTANCE
646,antinevronantistoffer,SUBSTANCE
647,antinukleære antistoffer,SUBSTANCE
648,antioksidant,SUBSTANCE
649,antiparasittære midler,SUBSTANCE
650,antiparkinsonmidler,SUBSTANCE
651,anti-Rh-antistoff,SUBSTANCE
652,anti-RNP,SUBSTANCE
653,antiserum,SUBSTANCE
654,antisipasjon,CONDITION
655,anti-Sm,SUBSTANCE
656,antisosial personlighetsforstyrrelse,CONDITION
657,antistafylolysin,SUBSTANCE
658,antistoffer,SUBSTANCE
659,antistreptokokk-hyaluronidase,SUBSTANCE
660,antistreptolysin,SUBSTANCE
661,antitoksin,SUBSTANCE
662,antitranspirasjonsmiddel,SUBSTANCE
663,antitrombin,SUBSTANCE
664,antitrombotisk behandling,PROCEDURE
665,antitrypsin,SUBSTANCE
666,antitussive midler,SUBSTANCE
667,antitussiva,SUBSTANCE
668,antityreoide medikamenter,SUBSTANCE
669,antiviralia,SUBSTANCE
670,antivitaminer,SUBSTANCE
671,antiøstrogen,SUBSTANCE
672,antocyaner,SUBSTANCE
673,antrakinonderivater,SUBSTANCE
674,antrakose,CONDITION
675,anthracosis pulmonum,CONDITION
676,antritt,CONDITION
678,antropometri,PROCEDURE
680,antrostomi,PROCEDURE
682,aortadisseksjon,CONDITION
683,aortaforsnevring,CONDITION
684,aortakoarktasjon,CONDITION
685,aortitt,CONDITION
686,aortitis,CONDITION
687,aortografi,PROCEDURE
688,aortaaneurisme,CONDITION
690,apallisk syndrom,CONDITION
691,apati,CONDITION
692,apathia,CONDITION
694,apehånd,CONDITION
695,apekskardiogram,PROCEDURE
696,Aperts syndrom,CONDITION
700,apicektomi,PROCEDURE
701,apiksaban,SUBSTANCE
702,apituitarisme,CONDITION
703,aplasi,CONDITION
704,aplastisk anemi,CONDITION
705,Apleys test,PROCEDURE
706,Apocillin,SUBSTANCE
707,Apodorm,SUBSTANCE
708,apofysitt,CONDITION
709,Apolar,SUBSTANCE
710,apolipoproteiner,SUBSTANCE
711,-nevrosis,CONDITION
714,appendektomi,PROCEDURE
715,appendicitt,CONDITION
716,appendicitis,CONDITION
717,appendix vermiformis,CONDITION
718,appetittnedsettende middel,SUBSTANCE
721,applanasjonstonometri,PROCEDURE
722,apraklonidin,SUBSTANCE
723,A-preparat,SUBSTANCE
724,aptyalisme,CONDITION
726,apudom,CONDITION
727,apudoma,CONDITION
728,aqueductus cerebri,SUBSTANCE
729,arachnitis,CONDITION
730,araknoidalcyste,CONDITION
731,araknoiditt,CONDITION
732,arachnoiditis,CONDITION
735,Arbeidslivets kompetansesenter for rus og avhengighetsproblematikk,CONDITION
738,arbeidsterapi,PROCEDURE
740,arcotomi,PROCEDURE
741,ARDS,CONDITION
742,arefleksi,CONDITION
743,areolarekonstruksjon,PROCEDURE
744,arginin,SUBSTANCE
745,Argyll Robertsons symptom,CONDITION
746,argyri,CONDITION
747,argyria,CONDITION
748,ariboflavinose,CONDITION
749,Aricept,SUBSTANCE
750,aripiprazol,SUBSTANCE
751,arkana,SUBSTANCE
753,arkolyse,SUBSTANCE
754,arkotomi,PROCEDURE
756,armforløsning,SUBSTANCE
757,Arnold-Chiaris misdannelse,CONDITION
758,aromastoffer,SUBSTANCE
759,aromaterapi,PROCEDURE
760,aromatiske forbindelser,SUBSTANCE
761,arrbrokk,CONDITION
763,arrhenoblastom,CONDITION
764,arrkorreksjon,PROCEDURE
765,arsen,SUBSTANCE
766,arsenikkforgiftning,CONDITION
768,artemisinin,SUBSTANCE
769,arteria vertebralis-basilaris-syndrom,CONDITION
770,arteriebetennelse,CONDITION
771,arterieblødning,CONDITION
772,arteriebuer,CONDITION
773,arterieprøve,PROCEDURE
774,arterieruptur,CONDITION
775,arteriestenose,CONDITION
776,arterioektomi,PROCEDURE
777,arteriografi,PROCEDURE
778,arterionefrosklerose,CONDITION
779,arteriosclerosis obliterans,CONDITION
780,arteriosklerose,CONDITION
781,-sclerosis,CONDITION
782,arteriosklerotisk,CONDITION
783,-scleroticus,CONDITION
784,arteriovenøs anastomose,SUBSTANCE
785,arteriovenøst aneurisme,CONDITION
786,arteriovenøst krysningsfenomen,CONDITION
787,arteritis temporalis,CONDITION
788,arteritt,CONDITION
789,arteritis,CONDITION
790,arthritis deformans,CONDITION
791,arthritis urethrica,CONDITION
792,arthrogryposis,CONDITION
793,Arthus reaksjon,CONDITION
797,artikulasjonsforstyrrelse,CONDITION
800,artralgi,CONDITION
801,arthralgia,CONDITION
802,artritt,CONDITION
803,arthritis,CONDITION
806,artrografi,PROCEDURE
807,artrogrypose,CONDITION
808,artrometri,PROCEDURE
809,artropati,CONDITION
810,arthropathia,CONDITION
811,artroplastikk,PROCEDURE
813,artrose,CONDITION
814,arthrosis deformans,CONDITION
815,osteoarthritis,CONDITION
816,artroskopi,PROCEDURE
817,artrotomi,PROCEDURE
818,arytenoiditt,CONDITION
819,asbestose,CONDITION
820,asbestosis,CONDITION
821,ascariasis,CONDITION
822,ascenderende lammelse,CONDITION
823,Aschoff-knuter,CONDITION
824,ascitestapping,PROCEDURE
826,aseptisk feber,CONDITION
827,asfyksi,CONDITION
828,asiderose,CONDITION
829,asparaginase,SUBSTANCE
830,aspartam,SUBSTANCE
831,Aspergers syndrom,CONDITION
832,aspergillose,CONDITION
833,aspergillosis,CONDITION
834,aspermi,CONDITION
835,aspermia,CONDITION
836,aspirasjon,CONDITION
837,aspiratio,CONDITION
838,aspirasjonsbiopsi,PROCEDURE
840,aspirasjonspneumoni,CONDITION
841,Aspirin,SUBSTANCE
842,assosiasjonsbaner,SUBSTANCE
844,assosiasjonsundersøkelser,PROCEDURE
848,asteno-emosjonelt syndrom,CONDITION
849,astenopi,CONDITION
850,asthenopia,CONDITION
851,asteriksis,CONDITION
853,astigmatisme,CONDITION
855,astringens,SUBSTANCE
856,astroblastom,CONDITION
857,astrocytom,CONDITION
858,-cytoma,CONDITION
859,asykliske blødninger,CONDITION
860,asymptomatisk,CONDITION
861,asynklitisme,CONDITION
862,Atacand,SUBSTANCE
863,Atarax,SUBSTANCE
864,atavisme,CONDITION
865,-ectasis,CONDITION
866,ateli,CONDITION
867,atellin,SUBSTANCE
868,aterektomi,PROCEDURE
869,aterom,CONDITION
870,atheroma,CONDITION
871,ateromatose,CONDITION
872,atheromatosis,CONDITION
873,aterosklerose,CONDITION
874,aterotrombogent syndrom,CONDITION
875,athetosis,CONDITION
876,atferdsforstyrrelse,CONDITION
878,atferdsterapi,PROCEDURE
879,Atkins-diett,SUBSTANCE
881,atoni,CONDITION
882,atonisk blødning,CONDITION
883,atopi,CONDITION
884,atopia,CONDITION
885,atorvastan,SUBSTANCE
886,atorvastatin,SUBSTANCE
887,atovakvon,SUBSTANCE
888,atrakurium,SUBSTANCE
889,atransferrinemi,CONDITION
890,atresi,CONDITION
891,atresia,CONDITION
892,atrial natriuretisk faktor,SUBSTANCE
894,atriki,CONDITION
895,atrofi,CONDITION
896,atrofisk gastritt,CONDITION
897,atropin,SUBSTANCE
903,audiometri,PROCEDURE
904,auditivt hjernesvar,PROCEDURE
906,auranofin,SUBSTANCE
907,aurikkelplastikk,PROCEDURE
909,aurotiomalat,SUBSTANCE
910,autakoider,SUBSTANCE
911,autisme,CONDITION
912,autismus,CONDITION
913,autismespekterforstyrrelser,CONDITION
915,autoantistoff,SUBSTANCE
917,autogen trening,PROCEDURE
919,autografisme,CONDITION
920,autoimmun endokrinopati,CONDITION
921,autoimmune sykdommer,CONDITION
922,autoimmun hepatitt,CONDITION
923,autoimmunitet,CONDITION
924,autoinfeksjon,CONDITION
926,autointoksikasjon,CONDITION
929,automatisme,CONDITION
930,autonome symptomer,CONDITION
932,autoplastikk,PROCEDURE
933,autoradiografi,PROCEDURE
934,autorisasjonstap,CONDITION
936,autosomale sykdommer,CONDITION
937,autotomi,PROCEDURE
941,aversjonsterapi,PROCEDURE
942,avføringslekkasje,CONDITION
943,avføringsmiddel,SUBSTANCE
944,avføringsprøve,PROCEDURE
945,avhengighet,CONDITION
946,avhengighetssyndrom,CONDITION
947,avhengig personlighetsforstyrrelse,CONDITION
949,avitaminose,CONDITION
950,avleiringssykdommer,CONDITION
951,avspenningsterapi,PROCEDURE
952,avtrykksmateriale,SUBSTANCE
953,avvergeskade,CONDITION
955,azatioprin,SUBSTANCE
956,azelain,SUBSTANCE
957,azidocillin,SUBSTANCE
958,Azitromax,SUBSTANCE
959,azitromycin,SUBSTANCE
960,azlocillin,SUBSTANCE
961,azoospermi,CONDITION
962,azoospermia,CONDITION
963,azotemi,CONDITION
964,aztreonam,SUBSTANCE
966,babesiose,CONDITION
969,Bacillus anthracis,SUBSTANCE
970,Bacillus cereus,SUBSTANCE
971,Bacillus cereus-matforgiftning,CONDITION
972,bacitracin,SUBSTANCE
973,Bactrim,SUBSTANCE
974,Bakers cyste,CONDITION
975,baklofen,SUBSTANCE
976,bakrus,CONDITION
979,bakteriell infeksjon,CONDITION
980,bakteriemi,CONDITION
981,bacteriaemia,CONDITION
985,bakteriolyse,SUBSTANCE
987,balanseforstyrrelse,CONDITION
988,balanseforsøk,PROCEDURE
992,ballisme,CONDITION
993,ballongbehandling,PROCEDURE
994,ballongdilatasjon,PROCEDURE
995,ballongtamponade,CONDITION
997,balsam,SUBSTANCE
998,balsamering,PROCEDURE
999,banding,PROCEDURE
1000,Bangs sykdom,CONDITION
1001,Bannwarths sykdom,CONDITION
1002,Bantis sykdom,CONDITION
1003,bariatri,PROCEDURE
1004,bariatrisk kirurgi,PROCEDURE
1005,baritose,CONDITION
1006,barium,SUBSTANCE
1007,bariumklyster,SUBSTANCE
1008,bariumundersøkelser,PROCEDURE
1009,Barlows sykdom,CONDITION
1010,barnekrampe,CONDITION
1011,barnelammelse,CONDITION
1015,barnesykdommer,CONDITION
1017,barodontalgi,CONDITION
1018,barotraumatisk otitt,CONDITION
1019,barotraume,CONDITION
